drug,condition,side,age0to2,age13to18,age19to24,age25to34,age35to44,age45to54,age55to64,age65to74,age75,female,male,star1,star2,star3,star4,star5,mean,count,condition_raw,id,tl1,tl2,tl3,t10,t11,t12,t13,t14,t15,w10,w11,w12,w13,w14,w15,t20,t21,t22,t23,t24,t25,w20,w21,w22,w23,w24,w25,t30,t31,t32,t33,t34,t35,w30,w31,w32,w33,w34,w35
lisinopril,High Blood Pressure,"Dizziness ,  lightheadedness , tiredness, or  headache  may occur as your body adjusts to the  medication . Dry  cough  may also occur.",2,6,55,363,1095,2258,2432,1557,661,5028,3401,1324,824,1836,2219,2226,3.379523075,9059,"High Blood Pressure, Chronic Heart Failure, Kidney Problem caused by Body Tissue Disease-Scleroderma, Kidney Disease from Diabetes, Prevention of Recurrent Atrial Fibrillation, Diastolic Heart Failure, Heart Attack, Failure of the Left Ventricle of the Heart, Other",1,medication,cough,blood,cough,drug,day,effect,medication,side,0.076,0.058,0.052,0.05,0.042,0.038,blood,pressure,pain,pill,leg,hour,0.132,0.13,0.043,0.033,0.025,0.02,chest,heart,foot,mouth,kidney,hand,0.054,0.047,0.034,0.02,0.019,0.016
oxycodone,Pain,"Nausea ,  vomiting ,  upset stomach ,  constipation ,  dizziness , drowsiness,  headache , increased  sweating ,  dry mouth ,  lightheadedness , or  weakness  may occur.",0,42,359,1057,1598,2299,1821,524,171,4141,3730,447,448,1603,2356,3017,3.895438953,8581,"Chronic Pain with Narcotic Drug Tolerance, Pain, Acute Pain Following an Operation, Neuropathic Pain, Other",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prednisone,Other,"Nausea ,  vomiting , loss of appetite,  heartburn ,  trouble sleeping , increased  sweating , or  acne  may occur.",12,136,372,839,989,1633,1608,1159,480,5141,2087,689,525,1233,1740,3041,3.818898727,7773,"Bell's Palsy Paralysis of One Side of the Face, Rheumatic Disease causing Pain & Stiffness in Backbone, Asthma, Sarcoidosis, Low Platelet Count and Bleeding from Immune Response, Giant Hives, Multiple Sclerosis, Crohn's Disease, Joint Disease which may include Attacks of Acute Arthritis, Cluster Headache Prevention, Inflammation of the Joints due to Gout, Obstructive Pulmonary Disease, Destruction of Red Blood Cells by Body's Own Antibodies, Inflammation of the Artery in the Temple Area, Muscle or Bone Disorder, Myasthenia Gravis, Skin Rash with Sloughing, Rheumatoid Arthritis, Contact Dermatitis, Lung Fibrosis, Disease in which Body has Immune Response Against Itself, Inflammation of Lung from Inhaling Something Irritating, Inflammation of the Artery in the Temple Area, Muscle Pain and Stiffness in Shoulder, Neck and Pelvis, Inflammation of Skin and Muscles All Over the Body, Muscle Pain and Stiffness in Shoulder, Neck and Pelvis, Pneumonia with High Amount of Eosinophil White Blood Cells, Prevention of Lung Transplant Rejection, Group of Skin Disorders that Resemble Blisters, Ulcerated Colon, Diffuse Proliferative Lupus Nephritis-A Kidney Disease, Sjogren's Syndrome; Causes Dry Eyes & Mouth And Arthritis, Bronchiolitis Obliterans with Organizing Pneumonia, Atopic Dermatitis, Inflammatory Bowel Disease, Cancer of the Prostate Gland, Other",3,pain,drug,side,drug,pain,problem,life,muscle,stomach,0.107,0.096,0.043,0.025,0.024,0.021,weight,gain,year,blood,sugar,infection,0.081,0.04,0.04,0.039,0.02,0.019,day,prednisone,effect,side,time,week,0.091,0.063,0.062,0.048,0.04,0.03
tramadol,Pain,"Nausea ,  vomiting ,  constipation ,  lightheadedness ,  dizziness , drowsiness, or  sweating  may occur.",1,27,303,793,928,1430,1251,616,228,3816,1761,1058,602,1092,1404,1421,3.273982428,6030,"Disorder characterized by Stiff, Tender & Painful Muscles, Pain, Neuropathic Pain, Chronic Pain, Other",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabapentin,Pain,"Drowsiness,  dizziness , loss of coordination, or  blurred vision  may occur.",0,9,69,329,597,1368,1449,916,316,3418,1635,931,637,1021,1149,1315,3.253314862,5497,"Neuropathic Pain, Extreme Discomfort in Calves when Sitting or Lying Down, Nerve Pain after Herpes, Acute Pain Following an Operation, Habit of Drinking Too Much Alcohol, Essential Tremor, Habit of Drinking Too Much Alcohol, ""Change of Life"" Signs, Pain Originating From a Nerve, Other",5,pain,medication,drug,work,shingle,arm,finger,experience,injury,0.069,0.033,0.033,0.017,0.017,0.014,medication,effect,side,doctor,anxiety,dosage,0.091,0.089,0.074,0.028,0.025,0.022,pain,day,drug,time,leg,night,0.145,0.058,0.044,0.036,0.031,0.03
metformin,Other,"Nausea ,  vomiting ,  stomach  upset,  diarrhea ,  weakness , or a  metallic taste  in the  mouth  may occur.",3,39,216,540,537,1019,1291,795,267,3095,1612,660,609,1253,1051,1134,3.295304865,5173,"Prevention of Type 2 Diabetes Mellitus, Type 2 Diabetes Mellitus, Disease of Ovaries with Cysts",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topamax,Pain,"Tiredness, drowsiness,  dizziness , loss of coordination, tingling of the hands/feet, loss of appetite, bad taste in your  mouth ,  diarrhea , and  weight loss  may occur.",4,108,390,898,1014,1024,448,86,16,3644,344,612,262,580,1022,1512,3.641925777,4296,"Migraine Prevention, Simple Partial Seizures, Essential Tremor, Involuntary Quivering, Tonic-Clonic Epilepsy, Binge Eating Disorder, Convulsive Seizures, Additional Medication to Treat Partial Seizures, Other",7,medication,drug,side,seizure,medicine,night,control,miracle,reason,0.049,0.029,0.028,0.02,0.014,0.014,effect,side,drug,loss,weight,memory,0.08,0.062,0.06,0.059,0.057,0.032,migraine,day,medication,year,month,time,0.069,0.056,0.056,0.052,0.051,0.045
neurontin,Pain,"Drowsiness,  dizziness , loss of coordination, tiredness, blurred/ double vision , unusual  eye  movements, or shaking (tremor) may occur.",0,14,84,370,674,1198,1006,494,124,2944,1020,694,388,744,958,1180,3.389001009,4156,"Neuropathic Pain, Pain Originating From a Nerve, Epileptic Seizure, Pain Originating From a Nerve, Extreme Discomfort in Calves when Sitting or Lying Down, Acute Pain Following an Operation, Habit of Drinking Too Much Alcohol, Other",8,medication,pain,neurontin,day,time,night,sleep,med,dosage,0.122,0.076,0.055,0.034,0.027,0.025,pain,drug,medication,effect,leg,side,0.163,0.044,0.042,0.041,0.037,0.034,symptom,anxiety,depression,arm,condition,head,0.02,0.019,0.018,0.018,0.018,0.016
lexapro,Depression,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0,153,383,828,801,847,590,204,62,3060,808,439,261,567,1010,1591,3.789296794,4134,"Anxiousness associated with Depression, ""Change of Life"" Signs, Depression, Repeated Episodes of Anxiety, Bipolar Depression, Major Depressive Disorder, Obsessive Compulsive Disorder, Posttraumatic Stress Syndrome, Panic Disorder, Other",9,drug,side,anxiety,anxiety,depression,effect,lexapro,year,medication,0.061,0.051,0.05,0.049,0.047,0.04,anger,pain,menopause,personality,head,insurance,0.032,0.03,0.017,0.016,0.014,0.014,day,week,doctor,work,night,pill,0.073,0.058,0.042,0.026,0.02,0.018
hydrocodone,Pain,Nausea  commonly occurs with the use of  hydrocodone  and usually goes away after the first few doses.,1,33,184,535,708,972,826,414,148,2269,1552,295,353,894,1096,1183,3.659251505,4168,"Cough, Pain, Osteoporosis, Other",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methadone hcl,Pain,"Nausea ,  vomiting ,  constipation ,  lightheadedness ,  dizziness ,  dry mouth , drowsiness, and increased  sweating  may occur.",0,6,130,667,753,1018,558,126,15,1879,1394,152,166,390,894,1671,4.150626337,3437,"Narcotic Addiction, Pain, Prevention of Opiate Drug Abuse, Symptoms from Stopping Treatment with Opioid Drugs, Severe Pain, Cough, Drug Withdrawal Syndrome in Newborn Infant, Other",11,pain,drug,day,effect,side,term,system,alot,hand,0.068,0.053,0.021,0.02,0.02,0.02,methadone,drug,life,clinic,treatment,year,0.054,0.051,0.042,0.038,0.028,0.026,pain,methadone,day,year,medication,doctor,0.137,0.043,0.041,0.039,0.037,0.036
effexor xr,Depression,"Nausea , drowsiness,  dizziness ,  dry mouth ,  constipation , loss of appetite,  blurred vision , nervousness,  trouble sleeping , unusual  sweating , or yawning may occur.",0,31,247,663,672,858,590,189,23,2734,539,370,213,553,938,1199,3.728078216,3486,"Major Depressive Disorder, Depression, Anxiousness associated with Depression, Repeated Episodes of Anxiety, Extreme Apprehension or Fear of Social Interaction, Neuropathic Pain, Bipolar Depression, Panic Disorder, Posttraumatic Stress Syndrome, Repeated Episodes of Anxiety, ""Change of Life"" Signs",12,medication,effexor,drug,drug,day,depression,life,doctor,symptom,0.099,0.052,0.043,0.041,0.04,0.036,effect,medication,side,year,month,time,0.066,0.059,0.047,0.039,0.037,0.036,night,sleep,hour,mood,change,husband,0.031,0.03,0.023,0.021,0.016,0.015
lyrica,Pain,"Drowsiness,  dizziness ,  dry mouth ,  constipation , difficulty concentrating, or  weight  gain may occur.",0,10,61,222,537,846,781,311,113,2204,677,558,287,529,690,817,3.319680666,3069,"Neuropathic Pain, Nerve Pain after Herpes, Disorder characterized by Stiff, Tender & Painful Muscles, Repeated Episodes of Anxiety, Other",13,pain,drug,side,friend,energy,patient,hip,think,want,0.02,0.017,0.013,0.013,0.01,0.009,pain,weight,medication,month,foot,leg,0.051,0.044,0.041,0.039,0.032,0.027,pain,day,effect,drug,side,year,0.119,0.055,0.053,0.049,0.041,0.034
alprazolam,Anxious,"Drowsiness,  dizziness , increased  saliva  production,  nausea ,  constipation , or change in  sex drive /ability may occur.",4,16,160,509,502,670,447,262,92,1725,937,131,136,309,616,1470,4.186326071,2885,"Anxious, Chronic Trouble Sleeping, Repeated Episodes of Anxiety, Panic Disorder, Anxiousness associated with Depression, Other",14,panic,medication,drug,anxiety,day,panic,attack,medication,drug,0.071,0.052,0.047,0.043,0.04,0.036,effect,side,month,week,drug,heart,0.073,0.047,0.047,0.037,0.036,0.021,disorder,depression,med,pain,loss,increase,0.075,0.066,0.031,0.018,0.016,0.013
seroquel,Depression,"Constipation , drowsiness,  upset stomach , tiredness,  weight  gain,  blurred vision , or  dry mouth  may occur.",0,98,217,543,552,683,362,90,28,1887,686,451,254,419,604,845,3.44228527,2761,"Additional Medications to Treat Depression, Repeated Episodes of Anxiety, Schizophrenia, Bipolar Depression, Manic-Depression, Mania associated with Bipolar Disorder, Bipolar I Disorder with Most Recent Episode Mixed, Other",15,medication,weight,sleep,weight,drug,year,medication,depression,month,0.061,0.056,0.046,0.044,0.033,0.028,sleep,night,day,time,work,hour,0.063,0.059,0.052,0.045,0.027,0.025,symptom,hospital,loss,pain,muscle,result,0.04,0.035,0.021,0.016,0.014,0.013
lamictal,Depression,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",0,84,264,628,567,608,309,89,3,2023,529,348,157,391,626,1030,3.718260188,2757,"Convulsive Seizures, Epilepsy of the Lennox Gastaut Syndrome, Bipolar Depression, Simple Partial Seizures, Fit, Rapid Cycle Manic-Depression, Manic-Depression, Other",16,medication,side,drug,problem,symptom,pain,weight,eye,memory,0.045,0.025,0.025,0.022,0.021,0.021,night,morning,insurance,brand,lamotrigine,sleep,0.035,0.024,0.019,0.016,0.016,0.015,effect,year,medication,drug,time,mood,0.049,0.047,0.042,0.04,0.035,0.034
zoloft,Depression,"Nausea ,  dizziness , drowsiness,  dry mouth , loss of appetite, increased  sweating ,  diarrhea ,  upset stomach , or  trouble sleeping  may occur.",0,142,282,557,500,484,340,139,51,2006,489,359,173,422,639,902,3.622044088,2662,"Depression, Major Depressive Disorder, Panic Disorder, Anxiousness associated with Depression, Repeated Episodes of Anxiety, Extreme Apprehension or Fear of Social Interaction, Posttraumatic Stress Syndrome, Obsessive Compulsive Disorder, Other",17,side,anxiety,depression,year,effect,depression,anxiety,time,side,0.047,0.046,0.043,0.042,0.04,0.036,pill,body,headache,morning,pain,tooth,0.029,0.023,0.023,0.019,0.016,0.012,week,sleep,feeling,mood,dose,head,0.06,0.041,0.032,0.027,0.022,0.02
morphine sulfate,Pain,"Nausea ,  vomiting ,  dry mouth ,  constipation , flushing, increased  sweating ,  lightheadedness , swelling/pain/ itching  at injection site,  dizziness , or drowsiness may occur.",0,16,56,234,407,764,669,206,63,1268,1147,213,320,596,734,552,3.452173913,2190,"Osteoporosis, Pain, Additional Agent to Induce General Anesthesia, Fluid in the Lungs, Drug Withdrawal Syndrome in Newborn Infant, Chronic Pain, Calming of Intubated Patient by Administration of Sedative, Severe Pain with Opioid Tolerance, Acute Pain Following an Operation, Other",18,morphine,time,pain,pain,day,time,drug,year,morphine,0.214,0.049,0.041,0.039,0.035,0.033,thing,constipation,effect,body,week,side,0.033,0.029,0.025,0.025,0.021,0.02,doctor,problem,people,surgery,side,nerve,0.037,0.035,0.025,0.022,0.02,0.019
phentermine,Other,"Dizziness , drowsiness,  dry mouth , difficulty sleeping, tiredness, tingling of the hands/feet,  constipation , and  metallic taste  may occur.",0,12,248,782,618,421,154,37,4,2097,179,90,70,272,517,1327,4.283391916,2403,"Weight Loss Management for an Obese Person, Adjunct Treatment of Obesity in a Comprehensive Weight Reduction Regimen, Weight Gain, Other",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naproxen,Pain,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",6,69,160,326,343,471,548,246,95,1525,739,537,314,443,482,488,3.030918728,2462,"Pain, Rheumatic Disease causing Pain & Stiffness in Backbone, Muscle Pain, Inflammation of the Tendon, Mild Pain associated with Arthritis, Migraine Headache, Inflammation of the Sac Surrounding the Joint - Bursitis, Minor Musculoskeletal Injury, Other",20,medication,pain,stomach,pain,day,stomach,drug,week,medication,0.25,0.052,0.05,0.043,0.034,0.027,medicine,migraine,medication,year,tablet,drug,0.053,0.041,0.037,0.037,0.035,0.034,effect,medication,leg,side,work,time,0.06,0.041,0.035,0.033,0.032,0.028
azithromycin,Other,"Nausea ,  vomiting ,  diarrhea /loose stools,  stomach pain , or pain/redness at the injection site may occur.",20,77,359,406,381,366,333,178,48,1585,583,438,215,352,493,670,3.342250923,2352,"Strep Throat, Bacterial Infection with Chronic Bronchitis, infection caused by bacteria, Chlamydia Trachomatis Infection of Female Pelvic Organs, Severe Sinusitis caused by Haemophilus Influenzae, Pneumonia caused by Bacteria, Middle Ear Infection, AIDS with Toxoplasmosis, Severe Episode of Chronic Bronchitis due to H. Flu, Bronchitis caused by the Bacteria Haemophilus Influenzae, Mycobacterium Avium Bacteria Infection, Other",21,medication,infection,side,day,infection,effect,medication,side,time,0.146,0.06,0.051,0.045,0.038,0.027,stomach,pain,hour,dose,drug,nausea,0.088,0.055,0.055,0.042,0.038,0.038,drug,sleep,dosage,morning,azithromycin,time,0.07,0.055,0.037,0.028,0.021,0.021
wellbutrin,Depression,"Dry mouth ,  sore throat ,  dizziness ,  nausea ,  vomiting ,  ringing in the ears ,  headache , decreased appetite,  weight loss ,  constipation ,  trouble sleeping , increased  sweating , or shaking (tremor) may occur.",1,38,176,428,392,485,406,182,53,1722,439,469,220,357,448,667,3.288755206,1969,"Depression, Stop Smoking, Major Depressive Disorder, Anxiousness associated with Depression, Attention Deficit Disorder with Hyperactivity,  Depressed Mood Disorder Occurring Every Year at the Same Time, Bipolar Depression, Other",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clonazepam,Anxious,"Drowsiness,  dizziness , tiredness, loss of coordination, or increased  saliva  production may occur.",0,36,186,423,383,512,363,199,51,1370,783,179,127,314,525,1008,3.954946586,2222,"Panic Disorder, Mania associated with Bipolar Disorder, Adjunct Treatment, Convulsive Seizures, Seizures with Irregular Muscle Contractions, A Feeling of Restlessness with Inability to Sit Still, Essential Tremor, Epileptic Seizure, Other",23,panic,sleep,drug,drug,sleep,night,effect,problem,thing,0.116,0.059,0.053,0.044,0.042,0.033,disorder,stress,depression,deal,lot,hell,0.038,0.034,0.031,0.015,0.013,0.013,day,anxiety,panic,medication,attack,year,0.077,0.069,0.063,0.063,0.053,0.043
celexa,Depression,"Nausea ,  dry mouth , loss of appetite, tiredness, drowsiness,  sweating ,  blurred vision , and yawning may occur.",0,68,222,468,422,442,367,120,33,1713,429,270,162,408,534,768,3.638655462,2224,"Depression, Obsessive Compulsive Disorder, Bipolar Depression, Repeated Episodes of Anxiety, Major Depressive Disorder, Anxiousness associated with Depression, Panic Disorder, Other",24,medication,celexa,side,effect,anxiety,side,year,celexa,drug,0.073,0.055,0.054,0.053,0.047,0.046,bit,eye,mind,insurance,trouble,menopause,0.039,0.018,0.017,0.015,0.014,0.013,week,time,day,medication,month,depression,0.053,0.052,0.046,0.045,0.044,0.03
adderall,Other,"Loss of appetite,  weight loss ,  dry mouth ,  stomach  upset/pain,  nausea / vomiting ,  dizziness ,  headache ,  diarrhea , fever, nervousness, and  trouble sleeping  may occur.",1,155,304,510,428,372,243,49,12,1400,674,103,84,295,547,1045,4.131629701,2349,"Recurring Sleep Episodes During the Day, Attention Deficit Disorder with Hyperactivity, Other",25,medication,day,drug,life,doctor,depression,medication,year,effect,0.041,0.031,0.029,0.027,0.025,0.024,task,add,dosage,trouble,test,brain,0.041,0.018,0.016,0.015,0.012,0.012,day,drug,time,year,medication,work,0.056,0.035,0.035,0.028,0.027,0.023
paxil,Depression,"Nausea , drowsiness,  dizziness ,  trouble sleeping , loss of appetite,  weakness ,  dry mouth ,  sweating ,  blurred vision , and yawning may occur.",0,40,240,476,431,427,304,107,40,1589,476,294,131,334,496,810,3.676513317,2168,"Depression, Repeated Episodes of Anxiety, Major Depressive Disorder, ""Change of Life"" Signs, Panic Disorder, Anxiousness associated with Depression, Extreme Apprehension or Fear of Social Interaction, Other",26,life,drug,side,sex,antidepressant,family,treatment,mood,person,0.026,0.017,0.016,0.015,0.015,0.015,people,other,thing,head,brain,research,0.047,0.035,0.028,0.016,0.016,0.013,year,paxil,effect,life,anxiety,day,0.041,0.039,0.038,0.037,0.036,0.033
levothyroxine,Other,No record,4,26,87,256,309,558,457,236,116,1758,291,452,332,465,395,405,2.984870669,2213,"Serious Decrease in Thyroid Function, Underactive Thyroid, Myxedema Coma, Thyroid Cancer, Decreased Thyroid Function existing from Birth, Enlarged Thyroid Gland, A Progressive Disease of the Thyroid Gland, Other",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trazodone hcl,Depression,"Nausea ,  vomiting ,  diarrhea , drowsiness,  dizziness , tiredness,  blurred vision , changes in  weight ,  headache , muscle ache/pain,  dry mouth , bad taste in the  mouth , stuffy nose,  constipation , or change in sexual interest/ability may occur.",0,37,87,241,306,531,465,207,85,1432,527,327,176,341,402,713,3.509443594,2099,"Chronic Trouble Sleeping, insomnia associated with depression, Depression, Major Depressive Disorder, Other",28,night,sleep,trazodone,effect,side,trazadone,heart,symptom,weight,0.136,0.087,0.033,0.016,0.013,0.013,pain,headache,body,change,cause,nightmare,0.052,0.034,0.02,0.017,0.016,0.016,sleep,night,year,drug,hour,day,0.091,0.075,0.038,0.036,0.034,0.032
amoxicillin,Other,"Diarrhea ,  nausea , or  vomiting  may occur.",37,68,208,284,309,334,305,172,64,1259,522,425,200,312,392,452,3.138124649,1974,"Cat Bite Wound, Acute Staphylococcus Aureus Infection of the Sinuses, Bacterial Urinary Tract Infection, Pneumonia caused by Bacteria, Diverticulitis, Acute Sinus Infection caused by Haemophilus Parainfluenzae, Acute Bacterial Infection of the Sinuses, Lower Respiratory Tract Infection, Infection of the Middle Ear caused by Streptococcus, Bacterial Infection with Chronic Bronchitis, Acute Bacterial Infection of the Sinuses, Severe Sinusitis caused by Moraxella Catarrhalis, Strep Throat, Skin Infection, Dog Bite Wound, Middle Ear Infection, Urinary Tract Infection caused by Klebsiella Bacteria, Lyme Disease, Other",29,infection,side,day,thing,dose,headache,lot,med,medication,0.031,0.031,0.025,0.02,0.02,0.02,effect,medicine,side,day,pill,throat,0.085,0.072,0.069,0.043,0.035,0.032,day,infection,drug,pain,rash,time,0.127,0.112,0.057,0.031,0.029,0.028
